Date,close1,volume1,close2,volume2,spread,spread_mean,spread_std,z_score
2021-01-14,3250.699951171875,6931542,1370.5,27521697,1880.199951171875,1782.239990234375,53.55879443591986,1.82901728780889
2021-01-15,3233.35009765625,4131692,1344.949951171875,15018441,1888.400146484375,1804.3,46.09644289750428,1.8244389631402194
2021-01-18,3221.75,4160906,1312.050048828125,8861765,1909.699951171875,1820.15,52.60043087245395,1.702456608939507
2021-01-19,3260.699951171875,2975735,1316.6500244140625,5585744,1944.0499267578125,1834.6349975585938,64.73482980906383,1.6902018514907566
2021-01-20,3308.800048828125,3453446,1339.449951171875,8225838,1969.35009765625,1854.6300048828125,72.732338068255,1.5772914197503107
2021-01-21,3273.85009765625,2778546,1339.699951171875,6142421,1934.150146484375,1870.9800170898438,70.0852844096032,0.9013322828989687
2021-01-22,3303.10009765625,3052459,1340.8499755859375,9646591,1962.2501220703125,1886.3250366210937,71.73771362267209,1.0583705782508153
2021-01-25,3291.300048828125,2272887,1325.0999755859375,6542611,1966.2000732421875,1902.9200439453125,68.74579814817487,0.920493048323929
2021-01-27,3261.050048828125,2786662,1301.0,8133665,1960.050048828125,1918.6150390625,60.89184394458017,0.6804689607254534
2021-01-28,3196.550048828125,3083938,1276.199951171875,4660690,1920.35009765625,1933.4700561523437,32.68021458965014,-0.40146488206502673
2021-01-29,3111.35009765625,5445659,1239.050048828125,12183519,1872.300048828125,1932.6800659179687,34.17242666299667,-1.7669221353608378
2021-02-01,3139.35009765625,3985846,1260.9000244140625,8880279,1878.4500732421875,1931.68505859375,35.715034402208175,-1.490548343088565
2021-02-02,3203.449951171875,2881837,1271.25,6892490,1932.199951171875,1933.93505859375,34.874964447889234,-0.04975223485797748
2021-02-03,3200.050048828125,2505866,1284.6500244140625,8182968,1915.4000244140625,1931.070068359375,35.12758262677639,-0.4460894480500869
2021-02-04,3188.449951171875,2057261,1279.3499755859375,5032240,1909.0999755859375,1925.0450561523437,32.93063444299599,-0.4842020457883271
2021-02-05,3157.949951171875,2366135,1272.0999755859375,5477481,1885.8499755859375,1920.2150390625,34.928341219535774,-0.9838733325630056
2021-02-08,3214.10009765625,2526592,1303.550048828125,6921922,1910.550048828125,1915.0450317382813,31.691350482368755,-0.14183626894212178
2021-02-09,3176.89990234375,2658751,1305.550048828125,7965949,1871.349853515625,1905.560009765625,28.736057815520763,-1.190495803899815
2021-02-10,3213.300048828125,2127983,1296.5,5951207,1916.800048828125,1901.235009765625,22.1157737576255,0.7037980779276727
2021-02-11,3206.0,1165882,1292.6500244140625,4673317,1913.3499755859375,1900.5349975585937,21.546984014132107,0.5947457898951811
2021-02-12,3190.800048828125,2777404,1309.800048828125,5797875,1881.0,1901.4049926757812,20.426800384979398,-0.9989323972042986
2021-02-15,3139.85009765625,2630853,1309.6500244140625,4363513,1830.2000732421875,1896.5799926757813,29.936402108937372,-2.2173646382768366
2021-02-16,3108.800048828125,3435770,1290.4000244140625,6896421,1818.4000244140625,1885.2,35.9227213801197,-1.859546632870245
2021-02-17,3073.10009765625,3678426,1281.300048828125,4575741,1791.800048828125,1872.8400024414063,44.59420890404381,-1.8172752831575094
2021-02-18,3057.35009765625,4189909,1292.449951171875,6437551,1764.900146484375,1858.42001953125,53.9080070225482,-1.7348048687416393
2021-02-19,3071.85009765625,3725028,1291.300048828125,5389696,1780.550048828125,1847.8900268554687,58.07770788723142,-1.159480642006339
2021-02-22,2958.449951171875,5366696,1265.199951171875,7371303,1693.25,1826.1600219726563,71.1980881540187,-1.8667639176650324
2021-02-23,2980.199951171875,3832829,1266.3499755859375,6612942,1713.8499755859375,1810.4100341796875,77.25377682303157,-1.249907286927138
2021-02-24,2948.10009765625,3774549,1274.300048828125,4537258,1673.800048828125,1786.1100341796875,78.2814489033456,-1.4346947702798922
2021-02-25,2995.300048828125,4224073,1274.550048828125,8788221,1720.75,1766.8500366210938,66.26908404460421,-0.6956492199298373
2021-02-26,2894.300048828125,5553153,1253.300048828125,15132388,1641.0,1742.8500366210938,63.746321095697596,-1.5977398361262902
2021-03-01,2924.199951171875,3265871,1267.0,5756286,1657.199951171875,1725.5500244140626,60.81423909948093,-1.1239156199978004
2021-03-02,3006.35009765625,3306469,1304.5,10461434,1701.85009765625,1713.8950317382812,51.49705555858924,-0.23389558784244355
2021-03-03,3059.10009765625,3509857,1343.550048828125,9056399,1715.550048828125,1706.2700317382812,43.741236232896505,0.21215717453510302
2021-03-04,3049.699951171875,3916760,1330.3499755859375,12041941,1719.3499755859375,1701.7150146484375,39.080791663863145,0.45124369765023165
2021-03-05,3008.050048828125,3203686,1316.699951171875,6486176,1691.35009765625,1692.79501953125,27.573296774041438,-0.0524029421233516
2021-03-08,3006.949951171875,2003125,1335.75,5119392,1671.199951171875,1690.5900146484375,28.402073006875757,-0.6826988815875684
2021-03-09,3050.949951171875,1942397,1345.550048828125,6518173,1705.39990234375,1689.7450073242187,27.751409126875384,0.564111715839704
2021-03-10,3070.949951171875,3053778,1368.1500244140625,7925984,1702.7999267578125,1692.6449951171876,27.413209112735032,0.3704393600495081
2021-03-12,3057.949951171875,2938317,1374.8499755859375,9462061,1683.0999755859375,1688.8799926757813,25.653286489211073,-0.22531292792737026
2021-03-15,3066.14990234375,3097083,1373.5999755859375,6658635,1692.5499267578125,1694.0349853515625,19.373679716844865,-0.07665340892668615
2021-03-16,3110.050048828125,4894756,1384.0,9352771,1726.050048828125,1700.9199951171875,16.905509107323546,1.4865008531479889
2021-03-17,3112.949951171875,3838390,1387.0,7626744,1725.949951171875,1703.32998046875,18.677733204776253,1.2110661639251135
2021-03-18,3036.5,3656306,1337.0999755859375,10961755,1699.4000244140625,1701.7149780273437,18.195700389700335,-0.1272253094797924
2021-03-19,3050.199951171875,5776626,1344.449951171875,12767112,1705.75,1700.35498046875,17.212863225829548,0.3134295242150218
2021-03-22,3129.64990234375,2821646,1370.800048828125,4862758,1758.849853515625,1707.1049560546876,24.836094920444186,2.0834554557263694
2021-03-23,3142.60009765625,3305973,1371.550048828125,7165335,1771.050048828125,1717.0899658203125,28.585710906069618,1.8876592989106011
2021-03-24,3121.10009765625,2207104,1353.75,6134303,1767.35009765625,1723.2849853515625,32.24890421945919,1.366406498801233
